"short_barcode","USP9X_expr","USP9X_group"
"TCGA-D8-A27V-01",14.6383227747487,"High"
"TCGA-A2-A0YF-01",14.5828476285503,"High"
"TCGA-OL-A66L-01",11.5308939811939,"Low"
"TCGA-E9-A5FK-01",12.0791514054219,"Low"
"TCGA-AC-A2FM-01",12.3202364452416,"Low"
"TCGA-C8-A26V-01",14.6319159520279,"High"
"TCGA-D8-A1JL-01",14.7099992111327,"High"
"TCGA-AC-A3OD-01",15.1126838450057,"High"
"TCGA-AO-A1KS-01",15.1681236393592,"High"
"TCGA-A7-A26G-01",14.9378335553992,"High"
"TCGA-W8-A86G-01",12.2060986139958,"Low"
"TCGA-A8-A081-01",15.1319373223991,"High"
"TCGA-AR-A2LJ-01",12.1081977225358,"Low"
"TCGA-D8-A1XT-01",14.9336906549522,"High"
"TCGA-C8-A8HP-01",12.3253054550897,"Low"
"TCGA-A2-A25F-01",14.9258789170477,"High"
"TCGA-E2-A1B1-01",14.709137675607,"High"
"TCGA-AR-A1AX-01",14.801910402897,"High"
"TCGA-OL-A66N-01",11.9534689622288,"Low"
"TCGA-AO-A0J6-01",14.6919070560448,"High"
"TCGA-A8-A08I-01",15.4296355772732,"High"
"TCGA-AR-A1AR-01",15.2297576394655,"High"
"TCGA-AC-A23E-01",14.4856406594645,"High"
"TCGA-C8-A27B-01",14.5142209093581,"High"
"TCGA-A2-A3XV-01",12.4107163336043,"Low"
"TCGA-AR-A0U2-01",15.1546203576926,"High"
"TCGA-AC-A23G-01",12.3353903546939,"Low"
"TCGA-BH-A1EU-01",15.006764361191,"High"
"TCGA-D8-A1JH-01",14.5352146149369,"High"
"TCGA-E2-A15P-01",14.5548286414299,"High"
"TCGA-E2-A574-01",11.6537407787066,"Low"
"TCGA-AR-A256-01",14.5865466228065,"High"
"TCGA-E9-A243-01",15.1714113885693,"High"
"TCGA-AR-A0TZ-01",14.909611865802,"High"
"TCGA-AR-A24H-01",14.8120268497716,"High"
"TCGA-A8-A096-01",14.7273355171066,"High"
"TCGA-E2-A1LH-01",11.1130909834424,"Low"
"TCGA-AC-A2QJ-01",11.3370643386847,"Low"
"TCGA-AR-A24S-01",14.6564248632778,"High"
"TCGA-Z7-A8R5-01",11.7198166030181,"Low"
"TCGA-A8-A07U-01",14.4501157936592,"High"
"TCGA-BH-A0BV-01",14.7234476384229,"High"
"TCGA-C8-A12X-01",12.0508689632907,"Low"
"TCGA-AO-A03T-01",12.0129736483745,"Low"
"TCGA-OL-A97C-01",11.9936460600166,"Low"
"TCGA-C8-A1HG-01",12.1331422124006,"Low"
"TCGA-A7-A5ZV-01",11.9016211583461,"Low"
"TCGA-A2-A0YI-01",14.5102078468515,"High"
"TCGA-PL-A8LY-01",11.9783529581651,"Low"
"TCGA-D8-A1JA-01",15.2099863576016,"High"
"TCGA-A1-A0SO-01",15.1749646821639,"High"
"TCGA-A2-A0CY-01",12.3503867423128,"Low"
"TCGA-AC-A3TM-01",11.6697708885255,"Low"
"TCGA-E9-A1N4-01",14.5102696708982,"High"
"TCGA-A8-A075-01",14.4356702609366,"High"
"TCGA-A7-A13G-01",15.0232778803709,"High"
"TCGA-OL-A5S0-01",11.3553510964248,"Low"
"TCGA-GM-A2D9-01",11.7681843247769,"Low"
"TCGA-D8-A1JE-01",14.7705606626179,"High"
"TCGA-A2-A0T7-01",14.5846102372495,"High"
"TCGA-B6-A0I9-01",14.7239275325514,"High"
"TCGA-V7-A7HQ-01",11.4014128787142,"Low"
"TCGA-UU-A93S-01",11.8411711892485,"Low"
"TCGA-AQ-A54N-01",12.2880008897076,"Low"
"TCGA-D8-A13Z-01",14.5830239863576,"High"
"TCGA-A2-A0CK-01",12.4325419003883,"Low"
"TCGA-WT-AB44-01",11.2390017577656,"Low"
"TCGA-EW-A1IW-01",14.5932743951699,"High"
"TCGA-OL-A5RW-01",11.6586577921261,"Low"
"TCGA-D8-A1JM-01",14.4745932108967,"High"
"TCGA-AO-A0JB-01",10.7481928495895,"Low"
"TCGA-AN-A0AT-01",14.4366464840758,"High"
"TCGA-D8-A1XJ-01",15.3403717166432,"High"
"TCGA-S3-AA12-01",12.3974072443754,"Low"
"TCGA-LL-A8F5-01",11.8856963733394,"Low"
"TCGA-D8-A1XM-01",14.6295273835338,"High"
"TCGA-LL-A6FQ-01",11.9922302649659,"Low"
"TCGA-EW-A1P3-01",12.270295326472,"Low"
"TCGA-AC-A3QQ-01",12.2723381841586,"Low"
"TCGA-D8-A1XK-01",14.9573741540476,"High"
"TCGA-AQ-A54O-01",12.1494295900567,"Low"
"TCGA-B6-A0X0-01",12.2618011071953,"Low"
"TCGA-LD-A66U-01",11.9925843440058,"Low"
"TCGA-OL-A6VO-01",12.344850683943,"Low"
"TCGA-EW-A1IY-01",14.7168730363542,"High"
"TCGA-E9-A22H-01",14.5700335613819,"High"
"TCGA-D8-A1J8-01",14.6887966810545,"High"
"TCGA-GM-A4E0-01",11.6856248397264,"Low"
"TCGA-E9-A1RH-01",14.7050383412189,"High"
"TCGA-AR-A1AI-01",14.5435152161522,"High"
"TCGA-B6-A2IU-01",12.0202855008446,"Low"
"TCGA-A7-A6VW-01",12.4080643199147,"Low"
"TCGA-AO-A1KR-01",11.0920964149908,"Low"
"TCGA-E9-A3HO-01",11.9643408677924,"Low"
"TCGA-OL-A66P-01",11.3668685861671,"Low"
"TCGA-A2-A0CP-01",12.0399471601691,"Low"
"TCGA-S3-AA15-01",12.4157417682901,"Low"
"TCGA-E9-A245-01",12.3367854762038,"Low"
"TCGA-AQ-A04H-01",14.8316041455436,"High"
"TCGA-A2-A4S1-01",11.8165837077876,"Low"
"TCGA-BH-A42U-01",12.3440184398813,"Low"
"TCGA-A2-A0D0-01",12.382083590142,"Low"
"TCGA-BH-A1ET-01",16.502334580198,"High"
"TCGA-AO-A03R-01",11.8185821774809,"Low"
"TCGA-5T-A9QA-01",11.2650289424582,"Low"
"TCGA-AR-A2LK-01",14.4723735332743,"High"
"TCGA-A7-A425-01",12.1023038172126,"Low"
"TCGA-AR-A24U-01",15.0063260785249,"High"
"TCGA-A8-A09R-01",14.6584904422903,"High"
"TCGA-5L-AAT0-01",11.4757334309664,"Low"
"TCGA-E9-A1RG-01",12.3952663498391,"Low"
"TCGA-BH-A202-01",14.7752501793015,"High"
"TCGA-WT-AB41-01",11.0464419480073,"Low"
"TCGA-C8-A27A-01",14.4485680450426,"High"
"TCGA-A8-A08S-01",14.4425547864187,"High"
"TCGA-A2-A0YT-01",14.8110234103009,"High"
"TCGA-AQ-A0Y5-01",14.4904121866439,"High"
"TCGA-5L-AAT1-01",11.806549621986,"Low"
"TCGA-A8-A09I-01",14.9572834555884,"High"
"TCGA-A8-A07E-01",14.7953801838396,"High"
"TCGA-A8-A091-01",14.5381889320524,"High"
"TCGA-C8-A1HO-01",14.9420104270224,"High"
"TCGA-B6-A1KC-01",14.5410360983487,"High"
"TCGA-PL-A8LV-01",12.0828143376723,"Low"
"TCGA-GM-A2DO-01",11.3766680618577,"Low"
"TCGA-A8-A07G-01",15.0714204621154,"High"
"TCGA-AC-A62V-01",11.7801296196253,"Low"
"TCGA-D8-A1XU-01",14.4428787182163,"High"
"TCGA-AO-A1KQ-01",12.2425786894513,"Low"
"TCGA-A7-A4SB-01",12.3578268822108,"Low"
"TCGA-3C-AAAU-01",14.5993317429563,"High"
"TCGA-OL-A6VQ-01",11.6352646565395,"Low"
"TCGA-D8-A1JJ-01",14.7695279531673,"High"
"TCGA-LL-A9Q3-01",12.0781508077346,"Low"
"TCGA-BH-A1FD-01",14.8280372855802,"High"
"TCGA-B6-A0X5-01",12.1811522568656,"Low"
"TCGA-AR-A24T-01",14.5121231614202,"High"
"TCGA-E2-A572-01",11.8395974830212,"Low"
"TCGA-AR-A252-01",14.4971657451784,"High"
"TCGA-A1-A0SN-01",14.7030924782184,"High"
"TCGA-A2-A0CR-01",12.0515488384404,"Low"
"TCGA-AR-A24M-01",14.5604522576669,"High"
"TCGA-B6-A0IM-01",15.1565966525782,"High"
"TCGA-3C-AALJ-01",11.6293566200796,"Low"
"TCGA-BH-A0BM-01",12.3955341354623,"Low"
"TCGA-E9-A6HE-01",12.0450770519349,"Low"
"TCGA-D8-A1JG-01",15.1334633465234,"High"
"TCGA-AR-A0TW-01",14.555727498206,"High"
"TCGA-AO-A128-01",14.6909801018887,"High"
"TCGA-BH-A1FE-01",14.7969521615093,"High"
"TCGA-A8-A07F-01",14.722060380242,"High"
"TCGA-A2-A3XW-01",12.0063260785249,"Low"
"TCGA-EW-A1PC-01",14.4900987548842,"High"
"TCGA-A2-A3XT-01",12.0237543532994,"Low"
"TCGA-A7-A26F-01",14.449986878009,"High"
"TCGA-BH-A5J0-01",12.3145832442742,"Low"
"TCGA-AO-A12B-01",12.3949985145017,"Low"
"TCGA-GM-A5PX-01",12.3872095807196,"Low"
"TCGA-LL-A5YM-01",10.7879025593914,"Low"
"TCGA-BH-A1F8-01",15.9553547641178,"High"
"TCGA-LL-A5YN-01",12.047123912114,"Low"
"TCGA-E2-A576-01",12.1208858427878,"Low"
"TCGA-A7-A56D-01",11.4491486453754,"Low"
"TCGA-A2-A1FW-01",14.7419935750995,"High"
"TCGA-B6-A0I5-01",11.9794251953315,"Low"
"TCGA-E2-A1IJ-01",12.344850683943,"Low"
"TCGA-AC-A5EH-01",12.3054917921107,"Low"
"TCGA-AQ-A1H2-01",14.7838679033031,"High"
"TCGA-E9-A5FL-01",11.3026389237876,"Low"
"TCGA-GM-A2DA-01",11.0808175276083,"Low"
"TCGA-BH-A0B4-01",12.2404932238768,"Low"
"TCGA-AO-A12H-01",12.0901124196643,"Low"
"TCGA-AR-A24P-01",14.543333961671,"High"
"TCGA-BH-A0BL-01",14.8090144351586,"High"
"TCGA-AO-A0JL-01",11.7095146607067,"Low"
"TCGA-OL-A5D7-01",12.4452735556406,"Low"
"TCGA-BH-A18G-01",11.9957671508778,"Low"
"TCGA-EW-A6SB-01",11.2946207488916,"Low"
"TCGA-E9-A54Y-01",10.6899979714194,"Low"
"TCGA-D8-A1JF-01",15.1915604917295,"High"
"TCGA-GM-A2DC-01",12.36768775627,"Low"
"TCGA-E2-A1IF-01",12.3904376895605,"Low"
"TCGA-A2-A0ER-01",14.4716117140931,"High"
"TCGA-E2-A1B0-01",15.1426256321089,"High"
"TCGA-A2-A4S2-01",12.3454052467178,"Low"
"TCGA-B6-A402-01",11.8753654006418,"Low"
"TCGA-A2-A1G1-01",14.9742801375564,"High"
"TCGA-BH-A1F2-01",14.6622233053178,"High"
"TCGA-A2-A25C-01",15.1062357616157,"High"
"TCGA-BH-A1EX-01",15.0151536709129,"High"
"TCGA-BH-A0E6-01",11.7523806465529,"Low"
"TCGA-AC-A23H-01",14.9698361691692,"High"
"TCGA-GM-A2DH-01",14.7862185687381,"High"
"TCGA-E2-A15M-01",14.8547710058486,"High"
"TCGA-A2-A4RY-01",12.3782948559119,"Low"
"TCGA-D8-A1JC-01",14.9081580323993,"High"
"TCGA-E9-A1RC-01",14.642051692928,"High"
"TCGA-BH-A8FY-01",10.2957689344205,"Low"
"TCGA-E2-A9RU-01",11.8081597728684,"Low"
"TCGA-AC-A3QP-01",12.3589258691547,"Low"
"TCGA-AR-A251-01",15.1590040719246,"High"
"TCGA-A2-A3XU-01",12.2891543537234,"Low"
"TCGA-E9-A1R3-01",14.8215248763771,"High"
"TCGA-BH-A204-01",15.1319373223991,"High"
"TCGA-LL-A7SZ-01",11.1567151442247,"Low"
"TCGA-AC-A7VC-01",11.7801296196253,"Low"
"TCGA-D8-A1XZ-01",14.487588846386,"High"
"TCGA-LL-A50Y-01",11.8205778826558,"Low"
"TCGA-AR-A24L-01",14.5583609186343,"High"
"TCGA-BH-A1F0-01",14.6854058347861,"High"
"TCGA-E9-A3X8-01",11.5816713585781,"Low"
"TCGA-A8-A06Z-01",14.564328148223,"High"
"TCGA-A8-A076-01",14.5660540381711,"High"
"TCGA-A7-A4SA-01",12.2264121927888,"Low"
"TCGA-OL-A66O-01",11.782588759495,"Low"
"TCGA-D8-A1X9-01",14.6401319387646,"High"
"TCGA-LL-A5YL-01",12.2428763671664,"Low"
"TCGA-D8-A1JD-01",14.5894755970156,"High"
"TCGA-LL-A6FR-01",11.7598881832218,"Low"
"TCGA-E9-A1RD-01",14.4769360197467,"High"
