category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	54/3703	86/9500	0.627906976744186	1.6108874639669908	4.548178400415662	6.246271054520125e-6	7.011942990235495e-5	3.5844475660913446e-5	5290/2932/5062/6654/5594/5291/6655/2475/868/867/27/3845/1399/5894/5747/673/2549/1398/4690/5599/5601/5604/6198/25/4893/818/2002/6464/6416/2885/8503/5295/5335/817/6777/207/10000/5578/5579/1027/5058/5063/685/1956/2065/7039/53358/10718/1950/2064/5602/3084/2066/2069	54
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	73/3703	125/9500	0.584	1.4982446664866325	4.481528642297403	7.692371022882021e-6	8.365453487384198e-5	4.2763509962732284e-5	5290/6093/1432/5529/10672/5594/5291/9475/5527/253782/3845/8879/2773/10558/5170/5894/259230/5528/5599/5601/5519/4790/5604/166929/2776/4893/340485/5523/387/9517/5728/8439/4363/29956/5515/2768/5520/81537/4217/55012/8503/5295/5581/56624/5516/5337/5525/171546/5603/1903/427/207/624/23236/10000/5578/8560/5332/9846/130367/5579/55304/2207/596/140/2770/2206/1901/10715/5602/7124/165679/5522	73
Genetic Information Processing	Folding, sorting and degradation	hsa04141	Protein processing in endoplasmic reticulum	95/3703	172/9500	0.5523255813953488	1.4169843433042977	4.410662762387412	9.74198832570455e-6	1.0273369507106615e-4	5.2516619682426436e-5	10905/51360/10802/56886/10427/84061/29979/23190/22872/22926/6400/201595/29978/821/5887/10299/9451/3998/10484/5611/80267/9871/9695/1965/6745/54431/7095/7323/9632/4780/23193/7326/11231/27248/10277/56681/10483/5599/5601/23471/6747/55757/51465/3312/7321/3703/55768/10294/10808/9373/30001/3320/8720/8454/165324/7415/3301/51128/4287/79139/10525/2081/3326/10130/4121/6185/91445/4217/55176/56893/3309/80331/7184/58505/81567/9709/22824/258010/2923/3305/55432/824/267/85479/7993/56605/9532/596/7466/7494/133022/57134/5071/7991/5602	95
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	54/3703	87/9500	0.6206896551724138	1.5923715161053014	4.436126420500141	1.0260613166613654e-5	1.0502039358769269e-4	5.368556115039342e-5	5290/2932/324/6654/5594/5291/6655/51426/2475/26060/2956/3845/4087/4437/836/5894/1499/673/5599/5601/10018/5604/5898/6198/4436/7046/4893/4292/387/4089/5899/7048/2885/8503/5295/4088/54205/207/10000/6934/1630/7042/5366/596/8313/1956/595/7039/27113/51176/10912/1950/5602/2069	54
Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	131/3703	251/9500	0.5219123505976095	1.3389595816033733	4.34962219020492	1.167732983856561e-5	0.00011610602239488091	5.935244339000264e-5	3836/5290/10787/10640/10097/3799/5286/1432/1778/1147/257397/9648/5594/3840/5291/27072/7189/3839/5868/64746/9475/23118/112574/1783/10096/10006/836/5289/84516/8976/329/5894/4074/79443/998/51164/55207/1781/23191/8737/1499/63916/5599/5601/60412/6885/4790/5604/841/4646/5898/5869/23265/1434/23339/51135/26263/114609/7879/6990/7099/382/387/3320/4615/51429/79026/5287/79659/9367/55770/5294/840/55860/51143/3326/1639/5788/55823/84790/6416/10376/8797/653857/4671/10109/10392/58484/3071/5420/140735/10333/7184/7097/5603/51626/330/8795/51209/7100/8767/113146/54205/207/9844/26084/26999/5608/81027/8743/10000/114548/3553/6934/9265/5058/2316/10810/5063/5217/596/838/3800/3576/51176/1780/3798/5602/7124/399/5288	131
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	115/3703	216/9500	0.5324074074074074	1.3658845180584311	4.347278793224607	1.2192398407770207e-5	1.1678904805745973e-4	5.970160048914306e-5	5290/2932/4775/1432/29110/1147/5908/57534/5594/5291/22926/7189/5451/9451/9475/23118/317/3845/836/1965/19/5170/5747/998/4780/6774/5906/5599/5601/6885/4790/5532/841/801/51135/114609/3312/7099/4893/30001/387/3320/10010/4615/5530/1536/3717/818/840/3308/2081/3326/5534/3329/6416/3708/4217/8797/8503/4773/7412/5295/7187/3949/4973/3309/5335/4688/10333/7184/7097/817/4067/7436/9619/5603/5533/8795/7410/839/163688/54205/355/207/3305/5608/8743/23236/10000/5578/114548/3553/3383/5332/10451/142678/356/596/25833/6401/7494/4312/3576/6347/959/5602/7124/948/3593/335/338/4314/4318/1548/1549	115
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	70/3703	120/9500	0.5833333333333334	1.4965343415248897	4.374744000623634	1.2417226373925317e-5	1.1678904805745973e-4	5.970160048914306e-5	5290/2932/1432/5781/5908/6654/5594/5291/6655/7189/57498/11108/3845/1399/5170/5894/998/2309/673/5663/2549/5906/1398/5599/5601/4790/5604/6272/9252/801/10019/25/51135/2889/4893/10818/6197/387/4215/818/6464/2885/4217/4214/8503/5295/5335/814/817/10782/5603/8767/6196/163688/3656/207/11213/10000/5580/9500/356/596/3667/53358/27330/5602/4909/4915/627/4916	70
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	90/3703	163/9500	0.5521472392638037	1.4165268088053296	4.286938285694429	1.6853009690656636e-5	1.543380887460134e-4	7.889636115570557e-5	1654/5290/1385/4775/1432/1386/29110/1147/6654/2033/5594/5291/6655/7189/23118/317/3454/3845/836/3716/1387/5894/7529/1642/673/6774/5925/5599/5601/6885/4790/5604/841/9134/10971/6773/51135/114609/7046/6772/7099/4893/57506/4615/4089/1871/64764/3717/7534/2002/1017/64135/6416/7048/3339/2885/4214/8503/23586/4773/5295/7187/7098/890/7097/6777/5111/4088/5603/843/54205/355/207/5608/10000/5578/5579/7419/6775/7042/356/596/9586/3576/1870/1959/5602/7124/898/4318	90
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	78/3703	138/9500	0.5652173913043478	1.4500581197384024	4.256356302795451	1.995362590748958e-5	1.7804773886683013e-4	9.101653922714546e-5	5290/2932/10097/6093/4775/1432/9815/29110/1147/3688/5594/5291/5586/7189/23365/9475/23118/10096/1399/8976/5747/998/63916/3676/1398/5599/5601/6885/4790/5604/8394/51135/2776/7099/8874/382/10163/6197/147179/387/4615/8935/2533/2335/1793/6416/653857/8503/4773/5295/7456/10109/3937/58484/5335/2212/5603/7410/6196/207/3678/64283/9844/5608/920/4210/10000/3586/114548/3553/10451/8395/3576/6347/27330/5602/7124/925	78
Organismal Systems	Immune system	hsa04611	Platelet activation	72/3703	126/9500	0.5714285714285714	1.4659928243509124	4.208391907889212	2.4949380754606122e-5	2.1705961256507323e-4	1.1095908809285355e-4	5290/6093/4659/1432/5908/10672/3688/5594/5291/23365/8773/9475/2773/5584/5501/2909/7094/5906/113/2776/387/3710/5500/5294/5592/3673/2983/3708/8503/3709/6786/109/5295/112/3937/2149/2977/5028/83660/2982/2212/115/23533/5742/5567/4067/6850/2814/5603/5593/3690/4638/695/207/91807/54518/23236/10000/5332/1281/340156/2207/10125/7450/2770/5321/1278/2811/64805/283748/255189/107	72
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	80/3703	143/9500	0.5594405594405595	1.4352377301337607	4.19121934869128	2.6025829134972176e-5	2.209021594870809e-4	1.129233664649627e-4	5290/1385/1432/1147/488/5594/5291/7189/1540/23118/3454/3716/5599/5601/6885/4790/5532/5604/6773/7046/6772/3710/5530/4286/3459/5534/2355/7048/3708/2885/8503/3709/4773/5295/3937/3554/2214/4688/2212/7006/814/6850/5603/5533/3690/695/207/79168/10859/5608/140885/11024/10000/8792/3553/9846/11006/1436/10326/169200/29760/2215/124905743/8878/3552/2209/1513/7042/799/10288/2213/4982/489/10990/3458/8600/5602/7124/23547/55423	80
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	48/3703	77/9500	0.6233766233766234	1.5992648992919045	4.219721194920506	2.6765819100330615e-5	2.217739296884537e-4	1.1336900821944546e-4	5290/1147/5594/5291/51426/2475/3845/4087/3716/5894/675/998/673/6774/5925/5599/5601/4790/5604/5898/6198/7046/6772/10928/4089/5899/1871/7048/8503/5295/9459/5337/4088/1019/207/1021/10000/7422/5888/7042/1956/595/7039/1870/10912/1950/2064/5602	48
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	98/3703	182/9500	0.5384615384615384	1.3814163152537444	4.152290759234661	2.8983649606478774e-5	2.3456535030359568e-4	1.1990787719693788e-4	8411/1385/1432/2033/5594/7189/23365/3920/5868/317/10892/836/4800/5289/3716/1387/5894/8915/23545/5599/5601/4790/5532/841/5869/801/51135/3313/114609/7879/6772/7099/4801/387/4615/5530/7096/3717/818/3459/5534/3329/5993/64581/1520/7421/22925/5994/1054/2214/10333/2212/51606/7097/817/3684/6850/5603/8844/5533/4360/8767/163688/3656/843/54205/207/10000/245972/3586/3553/64127/3111/3687/3587/3122/3113/3117/2215/124905743/2207/3552/2209/7042/1378/3109/596/4261/1379/2213/30835/50617/3458/5602/7124/1594/3593/3118	98
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	64/3703	110/9500	0.5818181818181818	1.4926472393391108	4.153495550792415	3.237502893768667e-5	2.560570470526128e-4	1.3089425575284804e-4	6093/23592/6667/2033/5594/659/9765/4090/25942/4087/1387/64750/657/6498/5519/9372/90/7037/9611/5933/6198/7046/4086/3624/57154/387/7057/8454/4089/93/5515/92/2200/4756/7048/91/1875/7027/3066/6497/4052/4092/5516/26585/4088/4093/3077/353500/1030/4838/7042/656/79875/1634/3626/2615/130399/392255/3458/7124/2331/652/64388/658	64
Genetic Information Processing	Folding, sorting and degradation	hsa04120	Ubiquitin mediated proteolysis	79/3703	142/9500	0.5563380281690141	1.4272782251162932	4.099940578054895	3.8020631776145144e-5	2.940262190688558e-4	1.5030378409750946e-4	10075/57448/9320/83737/64682/8450/51366/9354/8554/55236/23291/8065/8925/331/7189/8452/996/8453/7337/868/22954/9690/867/26091/8697/26259/25898/55284/329/89910/7323/3093/64750/7326/8924/1642/10054/4734/10277/7319/8451/4591/7324/1161/9039/51465/9063/7328/7321/7334/57154/55958/4193/8454/65264/7317/672/92912/11059/8945/55294/54926/10401/9886/64326/4214/6502/10055/55120/11060/330/23327/9246/8916/7325/5071/4281/134111/90293	79
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	54/3703	90/9500	0.6	1.5392924655684581	4.108326449206282	4.089150427845868e-5	3.093531193239917e-4	1.5813876940639623e-4	5290/4775/1432/5781/1147/5594/5291/7189/2475/3845/3716/5894/27436/1457/6774/283106/4790/5532/5604/6198/1459/114609/6772/7099/4893/3091/5728/4615/5530/3717/4215/3459/5534/8503/4773/5295/5335/29126/7097/5603/5533/207/940/5608/920/10000/917/10125/1956/1950/116071/3458/5588/238	54
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	98/3703	184/9500	0.532608695652174	1.3664009205227257	4.011112818601994	5.150245417689082e-5	3.813373202884682e-4	1.949365006919272e-4	5290/2932/5062/6093/4775/5781/3688/54434/5594/5291/659/23365/85464/9475/3845/2773/9860/5170/5894/5747/998/4690/6259/5532/5921/25/10154/57522/4893/55740/387/5530/3983/8829/6091/818/5534/4756/10507/8503/4773/5295/1073/56288/23380/5335/9353/7220/219699/817/7976/9037/10512/3611/5533/223117/10371/5361/3985/5727/7225/2043/5362/2042/64101/7223/9901/6586/1808/5578/7474/2048/1630/5058/84612/5063/7222/2770/5365/8633/91584/7852/80031/59277/6387/2045/4917/4233/9723/3897/285220/2044/6092/57689/22885/56896/90249/658	98
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	58/3703	99/9500	0.5858585858585859	1.5030128451678546	4.020904850190203	5.694093895677153e-5	4.1282180743659356e-4	2.1103111148452604e-4	5290/6667/6654/5594/5291/6655/5130/2475/3845/5170/5894/23446/7248/5599/5601/5604/6198/8394/4893/3091/10163/10434/160851/2885/8503/56034/5295/5335/5337/8613/56261/1119/8526/207/9162/1608/6584/5159/80310/10000/5578/8527/8936/5156/5579/56994/10810/8395/1956/5321/1950/1607/5602/283748/204962/6581/255189/80736	58
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	37/3703	57/9500	0.6491228070175439	1.6653164101179225	4.026473249905139	6.352674792152779e-5	4.5116955666717694e-4	2.3063416538642736e-4	201562/51/31/2181/51144/51495/2182/3032/6342/1374/1376/34/1962/3295/5538/109703458/3030/3992/60481/84869/39/2180/6319/79993/79071/36/401494/38/9415/81616/51703/6785/2194/79966/23305/83401/54898	37
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	45/3703	73/9500	0.6164383561643836	1.5814648618854021	3.9857706194274884	7.044982071995463e-5	4.903307522108843e-4	2.506530463509965e-4	5290/3799/6654/6789/5594/5291/6655/51426/3845/5170/5894/27436/2309/673/6774/5925/5604/4893/1871/2885/8503/5295/5335/6777/1019/207/1021/3082/83593/10000/5578/5579/5915/1956/595/7039/3800/1870/10912/1950/2064/3798/4233/5979/238	45
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	119/3703	233/9500	0.5107296137339056	1.3102704106054828	3.832329913609835	9.954768038414661e-5	6.792665249741769e-4	3.472354589250934e-4	29766/3688/829/3685/6645/1729/830/23002/7414/6711/7094/3676/23224/476/1605/3672/4628/272/6709/7170/23345/7057/22795/23353/1829/79188/114793/2335/7171/1462/10611/1730/2200/7058/3673/4811/3339/91010/4627/1282/3930/5318/81624/6443/23500/4001/29767/6641/83660/255631/288/7273/1832/10529/3655/1290/8082/1301/3690/1293/287/8516/161176/3678/3680/171024/6444/3908/4703/1824/7168/1756/2201/22801/1281/3695/284217/1286/131873/481/1634/3696/1278/11155/165904/1837/9499/1289/3694/256076/8910/8735/7169/6383/27295/4620/4622/825/7140/4626/1287/6712/8557/1299/4619/7136/1285/7111/7125/56776/84675/27063/7137/7060/1288/88/480/6445/1674	119
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	51/3703	86/9500	0.5930232558139535	1.5213937159688249	3.881879686452372	1.0181929040441492e-4	6.814060203987768e-4	3.4832915138352467e-4	3688/488/3685/6645/1499/1495/3676/1605/6546/3672/1829/3673/5318/6443/6641/781/1832/3655/8082/3690/8516/3678/3680/6444/3908/6262/1824/1756/1000/22801/3695/6934/284217/775/785/6547/29119/3696/1837/3694/8910/2697/51176/776/27091/489/783/9254/88/6445/1674	51
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	43/3703	70/9500	0.6142857142857143	1.575942286177231	3.8653274353661033	1.1401719994091004e-4	7.435032964168058e-4	3.8007276798076277e-4	5290/5062/5781/5908/6654/2033/5594/5291/6655/8453/405/3845/1399/1387/5894/998/673/2549/5906/1398/5604/2889/4893/3091/2885/8503/2113/5295/54583/2034/207/3082/9915/10000/7422/5058/7042/5063/6513/7039/112399/112398/4233	43
Cellular Processes	Transport and catabolism	hsa04137	Mitophagy - animal	60/3703	105/9500	0.5714285714285714	1.4659928243509124	3.8374226640640785	1.1537120116812502e-4	7.435032964168058e-4	3.8007276798076277e-4	10075/9101/4976/25820/9958/29110/6667/55669/64786/9868/9451/5868/3845/8887/1965/22879/64750/54708/1457/2309/283106/5599/5601/55288/345778/5869/55626/1459/7879/4077/23786/79065/4893/3091/57154/10241/81631/84749/4286/7415/9927/8678/221960/51622/665/139341/9804/84134/23710/267/10133/22800/387990/664/65018/8878/22808/10370/5071/5602	60
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	116/3703	227/9500	0.5110132158590308	1.3109979882961904	3.790308227284469	1.176412810219174e-4	7.443484690114046e-4	3.805048132574936e-4	5290/2932/1385/6093/4775/1432/1386/29110/1147/6667/10672/6654/5594/5291/6655/23365/2475/11214/3685/9475/3845/836/2773/1399/3716/5894/5747/8737/1499/6774/1398/5925/7248/4790/5532/5604/841/6198/9826/113/801/2776/4893/387/59345/4193/3710/2782/5530/1871/64764/2002/1230/2768/5534/3708/2885/55970/8503/3709/4773/109/5295/112/3554/115/5567/115004/5603/5734/5533/3690/2923/54331/1019/3570/163688/54205/355/207/567/1234/1021/5608/6890/23236/3579/10000/5578/3553/7188/5332/5156/7422/5579/3587/1232/5732/356/1956/2770/6891/9586/595/3576/7852/6387/5731/1870/6351/6347/7124/5733/5743/107/2786	116
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	57/3703	99/9500	0.5757575757575758	1.4770988305959951	3.813757482323049	1.2802641367239758e-4	7.955927135356135e-4	4.0670044944802987e-4	5290/10097/5594/5291/50807/10096/1399/8853/5894/998/1398/5604/6198/8394/382/10163/1793/5788/653857/8503/5295/10109/1073/5581/2214/4651/5335/5337/2212/8613/4067/6850/4082/7410/3985/207/10000/5578/8936/5580/9846/5579/10451/5058/2215/124905743/3635/2209/10810/8395/5321/3055/2213/85477/273/283748/255189	57
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	63/3703	112/9500	0.5625	1.4430866864704295	3.769860860819233	1.4708126627327683e-4	8.979698361947429e-4	4.5903479224716125e-4	1432/1147/3688/331/5594/7189/23118/836/2773/3716/329/5170/6774/5599/5601/6885/4790/841/51135/3312/6772/7099/3915/4615/3717/5294/3459/3949/3910/7097/23533/3655/3912/5603/330/54205/207/3305/1234/5608/3908/10000/3586/3111/3587/3122/3113/284217/3117/7042/240/3109/596/2770/4261/3909/959/3458/5602/7124/3593/3118/3918	63
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	83/3703	157/9500	0.5286624203821656	1.3562768008724206	3.5975624819961487	2.596433119125015e-4	0.001557859871475009	7.963651490601226e-4	2932/324/23291/55233/659/1739/9113/4087/5584/7003/329/7529/657/5501/7532/1499/64398/1495/92597/6788/5519/26524/10971/60485/7046/4086/122786/4089/1857/9231/5500/7534/5515/10413/10207/8945/5520/8994/7048/7855/8323/1741/7159/56288/4092/5516/154796/999/7976/4088/25937/330/23286/7479/353500/1740/8322/7474/6934/894/85407/84612/8321/7042/656/7472/29119/8313/166824/595/27113/6591/2736/51176/5054/2246/392255/7473/7475/7484/652/5522/658	83
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	53/3703	93/9500	0.5698924731182796	1.462051983425238	3.5786637223836224	3.10406068599755e-4	0.0018278510658536113	9.343824262833041e-4	5290/1147/3688/331/5291/51426/7189/3685/317/836/329/5747/5925/4790/9134/3915/5728/1871/2335/1017/3673/8503/1282/5295/6502/7187/3910/3655/3912/330/1019/54205/207/1021/3908/10000/7188/1030/1027/5915/284217/1286/596/595/3909/1870/10912/1287/1285/898/5743/3918/1288	53
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	126/3703	254/9500	0.49606299212598426	1.272643377044788	3.520051487066429	3.1514673549200197e-4	0.0018278510658536113	9.343824262833041e-4	4775/488/5257/490/90550/5256/5532/5255/5027/2321/113/801/2776/6546/57620/3710/5530/3791/818/493/5534/444/3708/56034/7416/552/3709/4773/219931/6786/109/2149/116443/1909/57105/401152/5335/7417/814/817/115/56413/5567/57118/5533/2911/5724/3269/4638/163688/10800/292/91807/3357/3082/2915/624/5159/80310/23236/5578/6262/5332/3363/1133/5156/7422/5579/5136/7419/340156/3274/775/1910/6547/51196/1139/1956/255231/2065/2252/7039/57172/55283/89832/9630/7852/5731/5350/2246/776/777/886/952/84812/1950/2247/8822/2260/489/100130933/2925/2064/2250/2903/148/4233/2263/5979/5137/7125/5737/1812/5733/136/4915/2066/2668/2904/6870/185/4916/107/1131/774/2255	126
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	45/3703	77/9500	0.5844155844155844	1.4993108430861604	3.515895140719718	4.0525638097949225e-4	0.0023119544357518575	0.0011818520860316512	5290/5781/1147/6654/5594/5291/6655/51426/867/3845/1399/5894/673/1398/5925/4790/5604/25/7046/4893/4193/4089/1871/6464/7048/2885/8503/1488/5295/3066/2122/6777/4088/1019/207/861/1021/10000/9846/1027/7042/595/53358/1870/10912	45
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	74/3703	139/9500	0.5323741007194245	1.365799070168656	3.472186341591258	4.1671440726291675e-4	0.002338977640766049	0.0011956661261024264	9748/64682/1432/8243/5529/23291/5594/996/5527/9126/8697/7529/5501/7532/5528/5519/5532/5604/9134/113/801/10971/80315/6197/3710/5530/8454/22849/5500/7534/818/5515/1017/5534/8945/26271/3708/3709/285955/109/112/5516/4085/699/132864/817/115/5525/5567/5603/5533/6196/163688/6790/441273/442590/151648/983/891/9700/100505767/10734/3480/245711/9133/367/5347/995/441272/27127/27330/898/107/5241	74
Genetic Information Processing	Replication and repair	hsa03440	Homologous recombination	27/3703	41/9500	0.6585365853658537	1.6894673402580636	3.5358771210012434	4.398207328904049e-4	0.0024091754341869784	0.0012315506605493022	79184/11073/79728/4683/472/4361/675/10111/84142/580/7156/83990/6117/672/10714/51720/641/7516/5932/5892/8940/8438/50511/5888/25788/146956/5890	27
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	83/3703	159/9500	0.5220125786163522	1.3392167153268553	3.4474126453101173	4.4306674651714545e-4	0.0024091754341869784	0.0012315506605493022	5290/2932/8554/29110/1147/6654/5594/5291/6655/7189/9451/440275/5610/317/3454/3845/836/1965/3716/5894/7529/7532/8737/1499/673/6774/5925/5519/4790/5604/841/10197/10971/6773/8837/6772/4893/6041/57506/4940/1871/27102/7534/100506658/9069/5515/1017/5520/49861/5465/2885/8503/23586/5295/7187/3949/7098/5516/4939/91543/1019/54205/355/207/1021/10000/4600/3627/7122/356/1956/3434/595/4938/51208/1870/1950/3458/4599/9076/7124/10686/5522	83
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	40/3703	67/9500	0.5970149253731343	1.531634294097968	3.490114073418865	4.583537397420729e-4	0.0024539554066190976	0.001254441814030936	5908/2033/5594/3845/1387/5894/5501/673/5906/5532/5604/801/2776/4893/6197/3710/5530/5500/818/5534/3708/3709/814/817/5567/5533/2911/6196/163688/2915/23236/5578/5332/5579/775/2903/27330/2904/107/2891	40
Human Diseases	Cancer: specific types	hsa05213	Endometrial cancer	36/3703	59/9500	0.6101694915254238	1.5653821683747031	3.4815550277262055	4.8681019011010416e-4	0.0025668173660350945	0.0013121359191165488	5290/2932/324/6654/5594/5291/6655/51426/3845/5170/5894/1499/2309/673/1495/5604/4893/4292/5728/2002/2885/8503/5295/999/3611/207/10000/6934/29119/8313/1956/595/51176/10912/1950/2064	36
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	58/3703	105/9500	0.5523809523809524	1.4171263968725487	3.4350105956410992	5.02439879050481e-4	0.0025713099692583436	0.001314432500921537	1147/257397/331/7189/1540/23118/23085/10892/472/329/8915/8737/1457/283106/6885/4790/51135/1459/114609/8837/7099/142/4615/7706/23586/7412/1896/7187/3554/5335/7128/10673/4067/6850/330/695/60401/8792/3553/3383/7188/5579/29760/5328/8740/596/3576/6387/6351/10912/959/8600/5588/7124/128178/5743/4050/6357	58
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	58/3703	105/9500	0.5523809523809524	1.4171263968725487	3.4350105956410992	5.02439879050481e-4	0.0025713099692583436	0.001314432500921537	5290/4775/1432/5781/1147/5594/5291/23365/1540/868/3845/10892/5894/8915/5599/5601/4790/5532/841/801/6773/6772/4893/387/4193/3710/5530/5534/64581/3708/8503/3709/4773/5295/6850/5603/8844/5533/163688/207/93978/10000/3586/114548/22800/3553/5580/5058/2207/22808/30835/1959/6367/338339/5602/7124/3593/5743	58
