category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	89/3703	173/9500	0.5144508670520231	1.3198172392638994	3.3928767436128466	5.276426239173494e-4	0.002661154103235327	0.0013603600830210836	3836/5290/7514/4928/29110/1147/2033/5594/5291/23633/103/5610/317/5611/3454/836/1965/3716/1387/5894/4790/5604/841/6773/51135/11100/6772/7099/6041/55916/57506/10241/4615/7706/4940/8766/3717/51284/3459/64135/3841/8797/8503/7416/23586/5295/7187/7098/3838/4939/91543/8795/1019/8480/54205/355/292/207/1021/8743/10000/5578/114548/3553/3383/4600/3111/5579/3122/3113/3117/3627/3552/100529063/3109/356/4261/4938/3576/6347/3458/4599/7124/7113/3593/56649/3118/402569/90865	89
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	73/3703	138/9500	0.5289855072463768	1.357105676165428	3.3772726873458847	5.806310103107254e-4	0.002886565594116178	0.0014755885825941744	5290/2932/122809/6654/5594/5291/6655/5576/2475/868/867/1977/3845/5257/5584/1399/5573/5170/5894/5501/5256/673/1398/7248/5599/5601/5255/5604/31/23265/6198/801/3632/2889/5565/4893/5562/5500/3643/2002/5571/5509/5770/3098/6464/5792/3099/2885/8503/5295/2308/57521/23433/5567/163688/5577/79660/207/10580/51422/10000/5140/5836/5563/3667/53358/2194/10891/8789/5602/2203/8471/5507	73
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	82/3703	158/9500	0.5189873417721519	1.3314555081921262	3.357747251499272	6.053902311847424e-4	0.002967264795102681	0.0015168413501886057	5290/2932/523/1147/6654/253260/51719/5594/5291/6655/6249/2475/96459/1977/3845/54468/9675/5170/5894/57600/153129/673/7248/79109/5604/9663/4040/528/6198/4893/5562/526/6197/81929/387/5728/1857/3643/8649/220441/1975/7855/8323/10325/2885/8503/5295/6502/55437/51382/9706/57521/51606/7976/92335/23175/6196/207/6446/7479/79899/2887/10000/5578/81617/8322/64798/7474/5579/58528/8321/5563/7472/3480/3667/534/7473/7475/27330/7484/7124/8140	82
Human Diseases	Cancer: specific types	hsa05214	Glioma	44/3703	76/9500	0.5789473684210527	1.4852822036186875	3.3946708581064966	6.196027353051052e-4	0.002994746553974675	0.0015308897992187542	5290/6654/5594/5291/6655/51426/2475/3845/5894/673/5925/5604/801/4893/5728/4193/1871/818/6464/2885/8503/5295/5335/814/817/57118/1019/163688/207/1021/5159/10000/5578/5156/5579/3480/1956/595/7039/53358/57172/1870/10912/1950	44
Organismal Systems	Environmental adaptation	hsa04710	Circadian rhythm	23/3703	34/9500	0.6764705882352942	1.7354767994154185	3.4335180562318137	6.596379311710952e-4	0.003144575343117002	0.0016074810435171606	1385/9575/23291/9975/1407/406/5565/6095/5562/26224/8454/5571/8945/8864/8863/51422/6096/8553/5563/9572/79365/4783/4862	23
Genetic Information Processing	Information processing in viruses	hsa03250	Viral life cycle - HIV-1	38/3703	64/9500	0.59375	1.5232581690521199	3.3568055749448	7.3315361404164e-4	0.0034478034822498743	0.001762488773442918	904/5903/27125/7514/9972/2033/9525/10015/11052/905/10955/8850/23534/1387/256987/23299/79869/25939/22936/636/7251/85363/29969/4131/5901/4130/11168/4300/1234/920/4600/140564/80237/9582/7852/4599/200315/100913187	38
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	59/3703	109/9500	0.5412844036697247	1.3886583404975386	3.26166587866291	8.98500620777908e-4	0.004169042880409493	0.0021311804198100555	5290/2932/1385/5781/5291/2475/10724/5170/5501/6774/5599/5601/2673/4790/6198/5565/5562/6197/8473/5728/64764/5500/3643/5571/5509/1374/5770/6945/5792/5465/8503/5295/5581/9882/2308/22877/133522/6196/79660/207/51422/10000/9945/5580/5836/5579/5563/6513/9586/3667/10891/11001/27330/5602/5588/7124/948/5507/51085	59
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	95/3703	189/9500	0.5026455026455027	1.2895307251234878	3.2132280275380163	9.55151384051193e-4	0.0043735879164449355	0.002235742159344205	1432/29110/1147/257397/55669/331/5594/5586/7189/79184/10059/54822/23118/55914/140609/3454/7158/3716/329/24145/90550/8737/5599/5601/6885/4790/841/5027/6773/51135/6772/7099/6041/56919/9140/57506/387/3320/3710/10010/22900/4615/81631/4940/9927/9474/1536/3326/55054/84168/3708/118429/10135/7416/4671/3709/84674/7187/10392/58484/7417/4939/7128/115361/23710/5603/330/8767/2633/1508/3428/4210/23236/114548/115362/3553/7188/5332/5580/64127/7419/91662/10628/596/838/2635/4938/388646/2634/3576/6347/9447/5602/7124/199713	95
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	82/3703	160/9500	0.5125	1.3148123143397246	3.2096111123824986	9.940334437268125e-4	0.004492514784635465	0.002296536595896532	3688/3685/3676/2734/100506658/9069/941/1462/5788/49861/4756/5792/83700/7412/80380/5797/942/29126/999/10666/3684/965/25945/3655/5802/8516/8506/5175/940/5789/3680/23705/64101/920/6693/1000/3383/214/3111/1003/3695/1272/3122/3113/4897/3117/5818/29851/6614/1525/139065/7122/3109/3683/3696/9369/51208/6401/3385/57502/257194/201633/4685/6402/6383/26047/959/23114/84631/1493/9076/3897/925/914/4684/10686/57689/3118/9378/22871/26050/84189	82
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	40/3703	69/9500	0.5797101449275363	1.4872390971675922	3.2463994223520465	0.0010410339554005436	0.004644613031787041	0.00237428796845738	5290/1432/6654/5594/5291/6655/3845/5170/5894/5599/5601/5604/4893/6416/2885/8503/5295/3937/5335/4067/6850/5603/7410/695/207/5608/10000/5578/9846/10451/241/2207/3635/240/5321/2206/5602/7124/283748/255189	40
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	44/3703	78/9500	0.5641025641025641	1.4471980445515418	3.169492999866931	0.0013013123920656033	0.005732363448592784	0.0029303370320997594	5290/10097/3688/5291/4735/23607/1213/867/10096/1399/8976/7414/5747/998/1499/63916/2549/1495/1398/55752/10163/387/23176/2335/1793/6464/653857/8503/5295/10109/999/3611/23157/3678/9844/26084/26052/8936/79658/29119/53358/8218/55964/4233	44
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	67/3703	128/9500	0.5234375	1.3428723332433163	3.1212994608938898	0.0013778650054865795	0.00599371277386662	0.003063936656937262	55276/8833/50484/6240/5471/2618/1633/10201/22978/144811/113/159/272/5151/9583/58497/5631/93034/5634/10606/2983/957/22875/50808/221264/109/112/4907/953/5144/2977/158/2982/132/124583/5139/131870/115/10846/5198/29922/9061/8654/6241/5150/3251/9060/4860/4882/205/51816/5236/5140/30833/5136/5167/27115/5142/4832/122481/55811/956/5169/5137/50940/7498/107	67
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	84/3703	166/9500	0.5060240963855421	1.2981984649372535	3.097702447467074	0.0014210594603047053	0.00610529249612392	0.0031209752929369093	1385/6093/4659/4775/1386/10672/488/5594/9475/2969/2773/490/4205/5894/5501/5532/5604/476/113/801/2776/6546/387/3710/5530/64764/5500/3643/5294/5592/493/2768/5534/2983/3708/7416/3709/4773/109/112/5581/2977/1909/2982/7417/5139/115/23533/4208/8654/5533/5593/10335/4638/163688/7225/292/207/91807/624/4882/23236/10000/5140/5332/7419/340156/775/1910/6547/481/140/2770/9586/3667/3778/5350/776/489/148/8471/185/107/480	84
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	79/3703	155/9500	0.5096774193548387	1.3075710191387977	3.085572516627518	0.0014940110300251748	0.006340437054253181	0.003241179256408916	6093/4659/4775/5594/9475/3845/2773/5894/5501/5532/5604/113/801/2776/29904/5565/4893/5562/387/3710/5530/5500/5294/818/2002/5571/10645/4660/5534/2983/3708/3709/4773/109/112/3759/2977/781/2982/814/817/115/23533/4208/5567/57118/5533/4638/163688/91807/51422/4882/23236/5578/6262/5332/5579/3762/340156/775/785/5563/1956/2770/5321/595/57172/3763/776/27091/952/5020/783/283748/5743/9254/255189/107/3760	79
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	101/3703	205/9500	0.4926829268292683	1.2639718619708475	3.0536834753111552	0.0015820771011248482	0.00663328712278852	0.0033908818020304287	1654/5290/1385/2957/5966/1386/23352/2033/5594/5291/1739/3516/7337/7874/5610/3845/836/2960/5934/3190/8850/3716/2965/1387/2967/7529/998/7532/5700/1642/6774/5925/4790/841/9134/5933/5922/10971/4893/387/728340/4193/1237/64764/7534/22938/1017/6672/2959/9759/2885/8503/6908/5295/6502/7187/3066/9093/1111/890/1233/5567/6777/4067/3572/6850/9519/1019/9734/1234/1021/87/121504/8344/983/245972/7188/1030/1027/1232/894/7419/5366/8343/2966/9586/595/8362/85477/8349/8347/8365/1959/8341/8340/8970/8370/440689/8339/898/128312	101
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	64/3703	122/9500	0.5245901639344263	1.345829478092641	3.0725641576172484	0.0016230502483269378	0.006724065314497314	0.0034372868667575497	9282/5290/2932/9969/8202/2033/488/5594/5291/10499/4853/2475/25942/3685/8648/3845/9968/8850/1387/5170/5894/1499/23389/5469/5604/476/9611/6772/4893/3091/4193/5208/8503/5295/3066/9882/2308/5335/116931/10231/5567/3690/1734/6567/207/7068/23236/10000/5578/5332/5213/5579/481/117247/51196/6513/595/53919/5350/84812/489/2099/652/480	64
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	100/3703	203/9500	0.49261083743842365	1.2637869175438898	3.03629529187912	0.0016740641324540881	0.006853815506988502	0.00350361409764385	10787/10802/10097/5062/6093/1432/10427/5781/1147/10672/257397/3688/5594/7189/23365/4644/9475/23118/10096/9871/10006/836/8976/7082/9632/998/23191/8737/10972/5861/4430/4690/5599/5601/6885/4790/841/4646/9826/25/51135/114609/7099/382/10163/147179/4628/387/4615/7009/4643/4645/4642/100506658/9069/840/2768/84790/49861/10376/8797/653857/4627/4671/55930/7456/10109/4691/2149/3554/3071/4651/2212/2846/5603/8795/7100/1902/54205/355/57121/26999/7430/81027/8743/8936/114548/3553/9265/5058/10810/5063/7122/356/51208/3576/5602/9076/7124/10686	100
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	36/3703	62/9500	0.5806451612903226	1.4896378699049595	3.091327432592832	0.0017543981859027813	0.0070991926592345106	0.003629048879040025	5290/5291/2475/1979/3845/23411/2309/6198/113/3312/5565/4893/5562/9474/3643/5571/847/81570/8503/109/5295/112/3066/2308/57521/115/5567/207/3305/51422/10000/5563/3480/3667/8471/107	36
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	44/3703	79/9500	0.5569620253164557	1.4288790819622816	3.059243584898997	0.0018409888892947609	0.0073639555571790435	0.0037643934941417366	1432/3688/5594/7189/23118/3716/3676/6885/4790/51135/6772/7099/4615/1536/3717/2002/3459/2214/4688/2212/7097/3684/5603/1915/3586/3553/3111/5579/3122/3113/3117/2215/124905743/3552/2209/7042/1378/3109/1379/3458/7124/3593/5743/3118	44
Genetic Information Processing	Translation	hsa03015	mRNA surveillance pathway	55/3703	103/9500	0.5339805825242718	1.3699204790657797	3.0168000280763847	0.0019937205614049616	0.007775903325941884	0.003974977804247363	23049/53981/10914/5529/4686/8731/11051/64895/2935/2107/11052/5527/9887/80335/8732/51585/26019/5501/10250/10767/5528/5519/23293/2733/55339/1478/79869/5523/1479/81608/55916/1477/5500/22916/5411/5515/23283/5520/51692/22794/53918/55012/10978/132430/124540/5516/5042/5525/26986/7919/140886/100529063/392517/23708/5522	55
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	49/3703	90/9500	0.5444444444444444	1.3967653854232303	3.022556091796287	0.002009896810404715	0.007775903325941884	0.003974977804247363	5290/1385/1386/5291/2475/26060/1977/3845/9821/23411/2309/7248/4790/6198/113/5565/4893/5562/9776/51094/64764/9474/3643/5571/10645/847/79813/8503/109/5295/112/79602/2308/57521/814/115/5567/207/51422/143686/9365/10000/5563/3480/9586/3667/10891/8471/107	49
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	42/3703	75/9500	0.56	1.4366729678638943	3.03431322381257	0.002011009480847039	0.007775903325941884	0.003974977804247363	545/317/836/472/25898/50484/841/9134/64393/8493/5728/4193/7057/1017/92344/900/64326/8797/901/4194/1111/9538/8795/6241/1019/54205/355/1021/143686/983/891/894/5366/51512/596/9133/64065/595/27113/5054/10912/898	42
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	29/3703	48/9500	0.6041666666666666	1.54998199657935	3.0529619048926024	0.002097674394374325	0.008021875705958957	0.0041007168611828905	1629/4594/3157/1738/223/3032/11112/594/34/586/1962/4329/56922/5095/219/3030/5096/26275/5019/549/39/64087/65985/224/36/38/316/64902/18	29
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	40/3703	71/9500	0.5633802816901409	1.4453450380924489	3.010281600181955	0.0021908452303898342	0.008106308055410726	0.004143877983558417	5290/2932/1432/122809/6654/5594/5291/6655/3845/5894/9655/9306/2309/6774/5599/5601/4790/5604/6772/4893/3717/6464/30837/5618/2885/8503/5295/6777/5603/207/10000/8792/894/595/2100/53358/8600/5602/2099/1081	40
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	53/3703	99/9500	0.5353535353535354	1.3734427723085567	2.98516801085443	0.0022145158709664485	0.008106308055410726	0.004143877983558417	5290/1432/8202/6667/6654/5594/5291/6655/4853/2475/3845/5894/5747/673/5925/5599/5601/5469/5604/9611/6198/113/4893/4193/1871/10498/6464/2885/8503/109/5295/112/115/182/5567/5603/1019/207/10000/1027/3480/596/1956/595/2100/53358/1870/8647/2064/5602/2099/107/4318	53
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	53/3703	99/9500	0.5353535353535354	1.3734427723085567	2.98516801085443	0.0022145158709664485	0.008106308055410726	0.004143877983558417	3688/488/3685/6645/3676/1605/6546/5565/3672/5562/7170/5571/7171/3673/6443/6641/781/7273/3655/8082/3690/8516/3678/3680/51422/6444/3908/6262/7168/1756/22801/1636/3695/284217/775/7042/785/5563/6547/3696/1837/3694/8910/7169/776/27091/489/783/7124/7137/9254/6445/1674	53
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	95/3703	193/9500	0.49222797927461137	1.2628046997323275	2.9479565262738667	0.0022213992498211427	0.008106308055410726	0.004143877983558417	5290/2932/6093/1147/5908/6654/5594/5291/6655/9475/3845/2773/1399/5894/5747/998/2309/673/6774/5906/1398/4790/5604/113/6773/2776/6772/4893/387/59345/2782/1237/3717/5294/1230/157/6464/2885/55970/8503/1794/109/5295/112/56288/5335/1233/115/23533/5567/6777/7074/4067/54331/7410/207/9844/1234/23236/3579/10000/408/5332/729230/5580/5579/10663/1232/10451/5058/3627/3702/6373/6355/4283/2770/10803/3055/53358/3576/7852/6387/6351/1524/6347/2829/6367/57580/3577/6354/6364/6362/6357/107/2786	95
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	76/3703	150/9500	0.5066666666666667	1.2998469709244758	2.958377833087767	0.0022362229118374414	0.008106308055410726	0.004143877983558417	5290/2932/324/6654/5594/5291/6655/51426/2475/1452/3845/4087/5894/1499/673/2549/1495/5925/5604/4040/9134/6198/7046/4893/4292/4089/1857/1871/1017/6464/7048/7855/8323/2885/8503/5295/999/7976/4088/207/7479/3082/10000/1030/8322/7474/6934/1027/5915/8321/7042/5243/7472/29119/596/8313/1956/2252/595/53358/51176/1870/2246/10912/1950/2247/8822/7473/2064/2250/7475/4233/7484/2263/898/2255	76
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	104/3703	214/9500	0.48598130841121495	1.2467789440741406	2.9181982878043304	0.0023982041552602354	0.008603866453923319	0.004398225743233638	545/5290/5062/8450/164/4775/1432/29110/1147/23291/8065/9730/5594/5291/7189/2475/23118/3845/836/2773/1399/472/5894/5747/8737/1642/1398/5599/5601/8451/6885/4790/5532/5604/841/6198/8905/801/51135/2776/7099/4893/59345/3710/2782/4615/5530/25939/8454/7465/5534/8945/3708/85363/55970/8503/3709/4773/5295/1073/5335/1111/7097/115004/5603/5533/2923/54331/163688/54205/3985/355/207/85417/567/1234/5608/920/6890/983/10000/5578/891/130340/7188/5579/5058/917/5063/140564/356/596/9133/2770/6891/9582/494551/7852/995/5602/7124/200315/100913187/2786	104
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	100/3703	205/9500	0.4878048780487805	1.251457289080047	2.9089121949485732	0.002481992219780779	0.00881360502534399	0.004505442375327085	5290/1432/29110/1147/5291/51426/7189/5707/3516/7874/25942/23118/5610/317/3454/836/3716/8737/5700/4734/6774/5925/5599/5601/6885/79685/10018/4790/841/9134/5713/6773/51135/5718/5706/6772/57506/10213/4193/4615/5701/4940/1871/9861/22938/1017/5717/5708/6416/8503/23586/5295/6502/7187/3066/953/4939/890/7128/7097/4067/965/6850/5603/2923/1019/695/54205/355/207/567/1021/5608/960/6890/10000/3383/7188/3111/1027/3122/894/3113/29760/3117/3627/917/3109/3683/596/6891/595/4938/1870/10912/956/5602/7124/898/3118	100
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	109/3703	226/9500	0.4823008849557522	1.2373368639156483	2.8860245621029135	0.002625451122799269	0.009228858492264097	0.004717716531133189	5290/1385/6093/4659/5908/2033/488/5594/5291/9475/2773/490/1387/5894/51/5501/673/5906/5599/5601/4790/5604/476/113/801/387/56670/64764/5500/818/493/4301/5465/3351/8503/10257/109/5295/112/2149/116443/5144/1909/3355/11149/5337/814/5139/817/115/10846/5567/7074/11069/7410/163688/5727/207/2737/54714/10000/6262/22800/5140/10451/5058/2892/775/481/5732/8843/5142/51196/64399/2770/9586/55811/10021/27198/5350/776/1261/5020/5443/489/2903/2867/5602/7253/3352/1260/1812/5733/1080/2904/117/7137/610/64208/2740/627/6752/107/480/3776/1908/1081/9568/2891	109
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	73/3703	144/9500	0.5069444444444444	1.3005596063252016	2.9045636795250678	0.002651994335318619	0.009228940286908795	0.004717758343882596	55183/5290/2932/5978/324/1432/5594/5291/659/56916/4090/3845/4087/84333/3716/463/5894/9869/7994/657/6498/1499/6774/90/5604/3720/4086/4893/3624/84108/4089/1857/93/3717/92/7855/8323/2885/91/8503/5295/7976/3572/4088/5603/3977/4093/207/648/7479/10000/8322/7474/8321/4838/7472/3480/8313/3198/3626/130399/9314/2247/2260/7473/7475/7484/2263/3175/5080/5013/652/658	73
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	68/3703	133/9500	0.5112781954887218	1.3116777902087111	2.8929808983221457	0.002781866160149003	0.009585043799325278	0.0048997955296006404	2932/1385/3799/9575/1432/1386/5529/5527/2773/5501/5528/5599/5601/5519/5532/406/801/2776/5523/59345/3710/2782/5530/64764/5500/818/5515/5520/3708/55970/55012/3709/6571/5516/817/5525/5567/5603/5533/54331/163688/207/23236/10000/5578/408/5332/5579/3762/2892/775/2770/9586/3800/3763/776/1815/2903/3798/5602/1812/2904/4128/5522/2786/774/3760/2891	68
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	63/3703	122/9500	0.5163934426229508	1.3248008924974435	2.8857331253364142	0.002884242936276414	0.009840358253178354	0.005030310177819545	5290/2932/1385/1432/1386/6654/2033/5594/5291/6655/2475/3845/2773/1399/1387/5894/5747/6774/1398/5599/5601/5604/113/2776/6772/4893/3710/64764/3717/6464/6416/3708/2885/4214/8503/3709/109/5295/112/5335/115/5567/6777/5603/207/5608/23236/10000/5578/5332/2690/5579/775/2770/9586/3667/53358/55811/776/5602/8471/6752/107	63
Genetic Information Processing	Replication and repair	hsa03460	Fanconi anemia pathway	32/3703	55/9500	0.5818181818181818	1.4926472393391108	2.9284011367015688	0.0029678540728937065	0.010027312789970969	0.005125879798865983	545/51426/5980/2072/5395/79728/57599/57697/51455/80010/675/7398/22909/5429/4292/84464/2187/2177/7156/55215/83990/6117/672/641/2176/2188/11201/2175/55120/8940/5888/146956	32
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	84/3703	170/9500	0.49411764705882355	1.267652618703436	2.8142928372980087	0.003386034866026347	0.011222286984544465	0.0057367407755233345	10097/6093/3688/9693/1739/9475/10096/5584/51762/7082/998/5962/64398/4734/5906/5599/5601/5519/57826/8777/4218/5565/5562/55114/4628/387/100506658/9069/5515/3308/5571/10207/153562/9414/5520/123720/84790/49861/4301/51735/10376/83700/4217/154810/1741/4214/653857/4627/10109/5581/4478/56288/5516/154796/11149/9223/5567/7074/5111/1019/54566/861/51421/51422/87/7430/1740/23327/84612/5563/7122/84952/595/51208/57530/776/2064/150084/5602/9076/1080/10686/5522/909	84
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	84/3703	170/9500	0.49411764705882355	1.267652618703436	2.8142928372980087	0.003386034866026347	0.011222286984544465	0.0057367407755233345	5290/2932/324/6654/196528/5594/5291/6655/51426/55193/2475/1452/57492/3845/4087/6599/7296/5894/4780/1499/673/2549/5925/8289/6601/5604/4040/6198/86/6595/7046/4893/6602/5728/29117/4089/1857/1871/2002/55274/6464/7048/7855/8323/2885/8503/5295/5335/114112/7976/4088/1019/207/7479/1021/3082/6605/10000/5578/8322/7474/6934/5579/8321/7042/7472/3480/8313/1956/595/7039/53358/3481/51176/1728/1870/10912/7473/7475/4233/7484/4257/2940/2939	84
Organismal Systems	Nervous system	hsa04730	Long-term depression	34/3703	60/9500	0.5666666666666667	1.4537762174813214	2.818029326508596	0.00402805680652006	0.013145874699586769	0.0067200629892019475	10672/5594/3845/2773/5894/673/5519/5604/2776/4893/3710/5592/5515/2768/2983/3708/3709/2977/5516/2982/4067/2911/5593/23236/5578/5332/5579/2892/3480/2770/5321/283748/255189/2891	34
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	57/3703	110/9500	0.5181818181818182	1.3293889475363956	2.777069308067067	0.004041978715102828	0.013145874699586769	0.0067200629892019475	5290/2033/5594/5291/2475/8453/405/1977/1387/6774/4790/5604/7037/6198/2321/7099/3091/5230/3939/1536/3643/818/160287/3459/3098/285/5163/3099/8503/5295/54583/5335/817/2034/284/7010/5209/3570/207/10000/5578/92483/5213/7422/5579/1027/3480/6513/596/1956/5054/112399/1950/229/2064/3458/112398	57
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	107/3703	224/9500	0.47767857142857145	1.2254783766058408	2.7293717252807363	0.004181477659896066	0.01347365023744288	0.006887619147392155	545/5290/1385/64682/4775/7514/1386/1147/2033/331/5594/5291/996/1739/2005/8295/821/3845/4087/8697/472/8850/3716/1387/7094/5925/5599/5601/64784/4790/5532/5604/9134/113/7046/4893/4801/5728/5530/4089/1871/64764/8829/4215/2002/1017/701/5534/6416/7048/9184/4214/8503/6908/7416/4773/2113/109/5295/112/3554/83660/4085/7417/1111/5901/890/115/10524/5567/6777/4088/5533/9519/1019/292/207/567/920/10000/9700/3383/3600/1030/3111/3122/894/3113/3559/3117/3560/7419/917/7042/3109/3683/6513/9133/9586/595/1870/1959/5602/7124/898/3118/107	107
